persuade |  v. 说服 vt. 劝说,说服
restriction |  n. 限制,约束 // vi. 结果,(作为结果)发生
safety |  n.安全； 安全性； 安全处所； 中卫 // adj.保障安全的
sanitation |  n. 环境卫生(卫生设备, 下水道设备)
scandal |  n. 丑闻,中伤,反感,耻辱
sense |  n. 侦测, 感官, 感觉; 理智; 意义 // vt. 感觉, 了解; 检测
stability |  n. 稳定性,居于修道院
strength |  n. 力量,力气,长处,强度
superstition |  n. 迷信, 没有根据的理论
supervision |  n. 监督, 管理
temptation |  n. 诱惑，引诱； 诱惑物
threat |  n. 威胁, 凶兆
transformation |  n. 转型,转化,改造
treasure |  n. 宝物,财富 // v. 珍爱,重视,储藏
urbanization |  n. 都市化, 城市化
variety |  n. 多样, 种类, 杂耍
violation |  n. 违反,违背,妨碍
vitality |  n. 活力, 生命力
warning |  n. 警告, 预告, 通知 // vbl. 警告, 注意, 通知
wisdom |  n. 智慧,学问
extent |  n. 广度,宽度,长度,大小,范围,范围,程度 // n. [律]&lt;英&gt;扣押, &lt;美&gt;临时所有权令
sharply |  adv. 锐利地, 严厉地, 厉害地
gradually |  adv. 逐渐地
publicize |  v. 宣传, 公布, 广告
esthetic |  adj. 审美的
achieve |  vt. 完成,达到,实现 // vi. 达到目的
decorate |  vt. 装饰, 装修, 授予某人奖章或其他奖状
habitual |  adj. 惯常的, 习惯的
endeavor |  n. 努力, 尽力, 进取心 // vt. 努力,尽力 // vi. 企图, 谋求
picturesque |  adj. 如画的, 生动的, 别致的
target |  n.（服务的）对象； 目标； （射击的）靶子； 目的 // vt.瞄准； 把…作为攻击目标
due to |  因为,由于 // 预定,预期
enclosure |  n. 附件,围墙,围绕
be superior to |  优越于
be subject to |  conj. 服从(以...为条件,须经,易受)
fertilize |  vt.使肥沃； 使受孕； 施肥
specialization |  n. 专门化, 特殊化  // [生]特化器官（机体）
register with | 向......登记；注册
in comparison |  adj. 比较起来(比较地)
interview |  n.  面谈,访问,接见 // vt. 接见,对...进行面谈(试) // vi. 面试, 采访
application form |  申请表
frustrate |  vt. 挫败,击败,破坏 // adj. 无益的,挫败的,挫折的
fee |  n. 费用,封地
supervisor |  n. 监督人, 管理人, 检查员, 督学, 主管人,导师
spare |  adj. 多余的, 闲置的, 备用的, 简陋的 // v. 抽出，饶恕，赦免，节约 // n. 剩余, 备用品
easy-going |  adj. 随和的
considerate |  adj. 考虑周到的,体谅的
low-key |  adj. 抑制的, 软调的
compassionate |  adj. 有同情心的 // vt. 同情
amusing |  adj. 有趣的, 引人发笑的
adorable |  adj. 可崇拜的,值得敬慕的,可爱的
confirmation |  n. 确认, 证实, 基督教的坚信礼
scare off |  吓跑，吓退
unveil |  vt. 揭开,公布 // vi. 揭开
bulky |  adj. 庞大的，笨重的，肥大的
precipitation |  n. 坠落, 沉淀, 凝结; 冰雹
reinforcement |  n. 加固；增援；援军；加强
dozens of |  几十
backward |  adj. 向后的 // adv. 向后
balanced |  adj. 均衡的, 平衡的
baneful |  adj. 有害的, 有毒的，致祸的
barbaric |  adj. 野蛮人的, 极其粗野、残忍或残暴的
barren |  adj. 不育的, 贫瘠的
biased |  adj. 有偏见的
bilingual |  adj. 双语的,用两种语言表达或书写的
boundless |  adj. 无限的(无穷的, 无边无际的)
brutal |  adj. 野蛮的,残暴的
carnivorous |  adj. 食肉的，（植物）食虫的
catastrophic |  adj. 悲惨的,灾难的
challenging |  adj. 大胆的(复杂的, 有前途的, 挑战的) // n. 复杂(有前途, 大胆, 挑战)
civilized |  adj. 文明的, 有礼的
cocky |  adj. 骄傲的, 自大的, 太过自信的
compulsive |  adj. 强制的, 强迫的
conducive |  adj. 有助于...的
considerably |  adv. 非常地, 很, 颇
conspicuous |  adj. 显著的,显而易见的, 显眼的
contemptible |  adj. 可鄙的, 可轻视的
deceitful |  adj. 欺诈(欺骗,虚伪,谎言)
deceptive |  adj. 迷惑的, 虚伪的, 诈欺的
demanding |  adj. 要求多的, 吃力的
destitute |  adj. 穷困的；无的；缺乏的 // n (plural). the destitute，赤贫者，贫民 // vt. 使穷困；夺去
deviant |  adj. 不正常的，离经叛道的 // n. 异常的人
dietary |  adj. 饭食的, 饮食的 // n. 规定的食物, 饮食的规定
diffident |  adj. 无自信的, 客客气气的, 羞怯的
disabled |  adj. 残废的 // n. 残疾人
disappointed |  adj. 失望的
disciplinary |  adj. 训练的, 规律的, 训戒的
discontented |  adj. 不满意的 // 动词discontent的过去式和过去分词
dishonest |  adj. 不诚实的
disobedient |  adj. 不服从的, 不顺从的
disorderly |  adj. 无秩序的, 乱的, 骚动的
distasteful |  adj. 味道差的, 令人反感的, 讨厌的
distracted |  adj. 注意力不集中的，心烦意乱的 // 动词distract的过去式和过去分词
doubtful |  adj. 可疑的, 疑心的, 不确定的
dreary |  adj. 沉闷的,令人沮丧的，情绪低落的
dutiful |  adj. 守本分的, 顺从的, 尽职的
eccentric |  n. 怪人 // adj. 古怪的, 反常的
educational |  adj. 教育的，有教育意义的
emotional |  adj. 感情的, 情绪的
enjoyable |  adj. 有趣的, 愉快的
entertaining |  adj. 引起乐趣的，娱乐性的，令人愉快的 // 动词entertain的现在分词
ethical | adj. 伦理的；道德的；凭处方出售的
everlasting |  adj. 永恒的, 持久的, 无止境的 // n. 永恒，永久盛开的花 // [大写]Everlasting: 上帝
evident |  adj. 明显的, 明白的
exhausted |  adj.耗尽的； 用完的； 筋疲力尽的； 精疲力竭的 // v.用尽( exhaust的过去式和过去分词 )； 使非常疲倦； 详尽讨论（或研究）； 弄空
existing |  adj. 现存的,现有的 // [计算机] 现有的
experienced |  adj. 有经验的
fervent |  adj. 热的, 炎热的, 热心的
fictitious |  adj. 假想的,编造的,虚伪的
greedy |  adj. 贪婪的
grievous |  adj. 痛苦的, 严重的, 充满悲伤的
hereditary |  adj. 世袭的, 遗传的
humane |  adj. 仁慈的，人道的
immoral |  adj. 不道德的
imperative |  n. 命令, 诫命, 需要 // adj. 命令式的, 急需的
impoverished |  adj. 贫困的，赤贫的，耗竭的 // impoverish的过去式和过去分词
improper |  adj. 不合适的, 错误的, 不道德的
incurable |  adj. 不能医治的, 不能矫正的, 无救的 // n. 不治的病人, 无救的人
indecent |  adj. 下流的, 不妥当的
independent |  adj. 独立的, 自主的，私立的，无偏见的 // n. 独立派人士, 无党派者
infectious |  adj. 传染的
intolerable |  adj. 无法忍受的, 难耐的
introverted |  adj. (性格)内向的
inviolable |  adj. 不可侵犯的, 不可亵渎的
irreplaceable |  adj. 不能为其他事物所替代的
irresistible |  adj. 不可抵抗的, 无法抗拒的
isolated |  adj. 分离的,孤立的
victimize |  vt. 使牺牲, 使受骗
industrialize |  v. (使)工业化 // =industrialise(英)
installation |  n. 安装,装置, 军事驻地
municipal |  adj. 市的,市政的 // n. 政府证券
deficit |  n. 赤字,不足，缺乏
disorganize |  vt. 破坏组织, 搅乱秩序, 使混乱
plagiarize |  vt. 抄袭(剽窃,借用)
triumphant |  adj. 得胜的, 得意洋洋的
subscription |  n. 签名,同意,签署物,订阅
auditorium |  n. 礼堂，观众席
presumably |  adv. 推测上,假定上,大概
presume |  vt. 姑且认定，假定，推测，认为是理所当然 // vi. 假设，越权行事
presumable |  adj. 可推测的,可能有的,似真的
provided |  conj. 假如,若是 // adj. 预备好的,由...供给的
polish |  n. 磨光，擦亮；擦亮剂；优雅，精良 // vi. 擦亮，变光滑 // vt. 磨光，使发亮；使完美; 改进 // v. 磨光；修改；润色 // adj. 波兰的
polished |  adj. 擦亮的, 精练的, 优美的 // 动词polish的过去式和过去分词
recruit |  n. 招聘,新兵,新成员 // vt.&vi. 恢复,补充,徵募
recruitment |  n. 征募新兵, 补充
precedent |  adj. 在前的,在先的 // n. 先例,前例
following |  n. 下列各项,部下,党羽 // adj. 下列的,其次的 // prep. 在（某事）以后
ascertain |  vt. 确定,探知,查明
discover |  vt.& vi.发现
clarify |  vt. 澄清,阐明,使...明晰
conceal |  vt. 隐藏, 掩盖
cover |  n. 封面, 盖子, 表面 // v. 覆盖, 涉及, 包含
folklore |  n. 民俗学, 民间风俗, 民间传说
assortment |  n. 分类, 配合, 各色俱备之物
amount to |  vt. 总共达到(总计,等于) // 相当于；意味着
intuition |  n. 直觉, 直觉的知识
instinct |  n. 本能, 天性, 直觉
derive from |  获得，取得，得到；（使）起源于;（使）来自
volatile |  adj. 反复无常的, 挥发性的, 稍纵即逝的, 脾气火爆的 n. 挥发性物质
disdain |  n. 轻蔑 // v. 蔑视
revolve around |  以...为主要内容
appeasement |  n. 平息, 缓和, 满足, 绥靖政策
spring up |  vi. 跳起(发生,萌芽,出现)
prominence |  n. 突出；显著；突出物；卓越
encompass |  vt. 围绕(包围, 拥有, 完成)
deem |  v. 认为, 相信
communal |  adj. 公有的
cycle |  n. 循环,周期,长期,圈,套曲,自行车, // vt. 环行,骑自行车 // vi. 使环行
astronomy |  n. 天文学
old-fashioned |  adj. 老式的，老派的，守旧的 // n. 古典鸡尾酒
outrageous |  adj. 暴虐的,极无礼的,可恶的 //  惊人的,肆无忌惮的,毫无节制的
overwhelming |  adj. 势不可挡的, 压倒的
painstaking |  n. 辛苦,苦心,工夫 // adj. 辛苦的,勤勉的,小心的
particular |  n. 个别项目, 详细说明 // adj. 特别的, 独有的; 挑剔的; 详细的
passive |  adj. 被动的,消极的 // n. 被动性
peaceful |  adj. 安宁的, 和平的
permissive |  adj. 许可的,获准的,自由的
perplexed |  adj. 困惑的, 不知所措的 // 动词perplex的过去式和过去分词
pornographic |  adj. 色情的，春宫的
powerful |  adj. 强有力的
pragmatic |  adj. 实际的, 实用主义的
precious |  adj. 宝贵的,珍贵的,矫揉造作的 // adv. 极其地
preferential |  adj. 先取的, 优先的, 选择的
prevailing |  adj. 盛行很广的,一般的,最普通的 // vbl. 获胜,盛行,流行
probably |  adv. 大概,或许
prone |  adj. 俯卧的, 易于...的, 有...倾向的
provocative |  adj. 气人的, 挑拨的, 刺激的 // n. 刺激物, 挑拨物, 兴奋剂
psychological |  adj. 心理(学)的
refreshing |  adj. 使清爽的, 有精神的 // 动词refresh的现在分词形式
regular |  adj. 有规律的,有规则的,整齐的,正规的
relative |  adj. 相对的,比较的,涉及到的 // n. 亲属,同类事物,相关物
renewable |  adj. 可更新的(可继续的,可更换的,可展期的)
rewarding |  adj. 有报酬的, 有益的
sanitary |  adj. 卫生的, 清洁的
satisfactory |  adj. 令人满意的
savage |  adj. 野性的, 凶猛的, 粗鲁的, 荒野的 n. 野蛮人, 粗人,凶恶的人 vt. 残害, 激烈抨击
seemingly |  adv. 表面上(看上去)
segregated |  adj.分离的
slavish |  adj.无独创性的，盲从的。照搬的； 奴隶的，奴隶性的
slightly |  adv. 些微地, 苗条地
sluggish |  adj. 懒惰的,迟钝的,无精打采的
sociable |  adj. 好交际的, 社交的
stable |  adj. 稳定的；牢固的；坚定的 // n. 马厩；牛棚 // vi. 被关在马厩 // vt. 赶入马房
stubborn |  adj. 顽固的, 倔强的，难对付的
superstitious |  adj. 迷信的
suspicious |  adj. 可疑的,多疑的
symbolic |  n. 代号 // adj. 象征的, 符号的
systematic |  adj. 有系统的, 分类的, 体系的
tasty |  adj. 好吃的
tempting |  adj.诱惑人的 // 动词tempt的现在分词
theoretical |  adj. 理论上的
thrifty |  adj. 节俭的, 节约的，兴旺的，茁壮的
timely |  adj. 及时的,适时的 // adv. 及时的
timid |  adj. 胆怯的,害羞的
tiresome |  adj. 令人厌倦的,讨厌的
tolerant |  adj. 宽容的, 容忍的
toxic |  adj. 有毒的 // n. 有毒物质
trendy |  n. 新潮人物, 穿着时髦的人 // adj. 流行的
truly |  adv. 真实地, 不假
trustworthy |  adj. 可信赖的
ubiquitous |  adj. 到处存在的,遍在的
unable |  adj. 不能的,不会的 // v. 不能,不会
unanimous |  adj. 全体一致的, 一致同意的
unbelievable |  adj. 难以置信的
uncomfortable |  adj. 不舒服的, 不自在的
undeniable |  adj. 不可否认的，无可辩驳的
undesirable |  adj. 不受欢迎的, 不良的，不合意的，讨厌的 // n. 不受欢迎的人，不良分子
unprecedented |  adj. 空前的,前所未有的
unreasonable |  adj. 不合理的, 过度的, 不切实际的
utilitarian |  adj. 功利的, 实用的
virtuous |  adj. 有品德的, 善良的, 贞洁的
void |  n. 空虚,空白, 真空 // adj. 空的,缺乏的,无效的 // vt. 清空,释放,取消,离开 // vi. 排泄
vulgar |  adj. 通俗的,粗俗的
wholesome |  adj. 有益健康的, 合乎卫生的, 健全的
zealous |  adj. 热心的, 狂热的，热衷的
furthermore |  adv. 而且, 此外
constant |  adj. 经常的, 不变的 // n. 常数, 恒量
manual |  adj. 手工的,体力的 // n. 手册,指南,键盘
behalf |  n. 代表；利益
additional |  adj. 附加的, 另外的
censure |  n. 责难, 非难 // v. 非难, 责备，公开谴责
crawl |  vi. 爬行，卑躬屈膝，自由式游泳 // n. 爬行, 匍匐而行，[体育]自由式游泳
presuppose |  v. 预先假定, 预料, 预料为必要的条件
anticipation |  n. 预期, 预料
contrive |  vt. 1. (不顾困难地)促成某事2. 巧妙地策划；精巧地制造（如机器） vi. 1. (不顾困难而) 设法做到(正式)
vibrant |  adj. 震颤的, 响亮的, 充满活力的, 精力充沛的, (色彩)鲜明的
opaque |  adj. 不透明的, 难懂的
vague |  adj. 模糊的,不明确的,说话含糊不清的,茫然的
transparent |  adj. 透明的, 明显的, 清晰的
fulfillment |  n. 满足，完成，履行
aspire |  vi. 渴望；立志；追求
recession |  n. 后退,凹入的地方,不景气
subsidize |  v. 给与补助金,给与奖助金,贿赂
familiarize |  vt. 使熟悉
optical |  adj. 眼睛的, 视觉的, 光学的
gloss |  n. 光彩, 注释 // v. 使光彩, 注释
synonym |  n. 同义词,换喻词
synonymous |  adj. 同义的
sustainable |  adj. 可以忍受的；足可支撑的；养得起的；可持续的
chaos |  n. 混乱
reclaim |  v. 开垦, 纠正, 收回
retrieve |  vt. 挽回,恢复,回忆,补偿 // vi. 找回猎物 // n. 取回,恢复
retake |  vt. 夺回, 取回, 再取, 补拍 // n. 重拍
recycle |  vt. 使再循环,再利用,再制 // vi. 循环 // n. 再循环
blast |  n. 爆破,冲击波,气流,一阵,汽笛声 // vi. 爆破,突然发出声音 // vt. 喷射,炸掉
requisite |  adj. 必要的, 需要的 // n. 必需品
warfare |  n. 战争,冲突
hostility |  n. 敌意, 敌对状态, 公开战争
war |  n. 战争 // vi. 作战
conflict |  n.冲突； 战斗； 相互干扰； 矛盾 // vi.抵触； 争斗； 战斗； 冲突
peace |  n. 和平,安静
thrill |  n. 震颤,激动 // vt. (使)震颤,抖颤,激动 // vi. 变激动
excite |  v. 刺激, 使...兴奋, 激励
delight |  n. 快乐,高兴 // vi. 给与乐趣,使高兴 // vt. 使高兴
global |  adj. 全球性的, 全局的
perceive |  v. 察觉, 感觉, 认知, 理解
detect |  vt. 发现,探测信息,侦查 // vi. 当侦探
comprehend |  vt. 充分理解(综合,包含)
barely |  adv. 少量地,几乎不地,勉强
recipient |  n. 接受者, 收信人
receiver |  n. 接收器, 收款员, 接待者，听筒
contributor |  n. 贡献者, 捐助者, 赠送者，投稿人
strategy |  n. 战略, 策略
strategic |  adj. 战略的,重要的,基本的
exotic |  adj. 异国的,外来的,奇异的,脱衣舞的 // n. (复数)异国风格的事物,脱衣舞者
foreign |  adj. 外国的,外交的,不相关的
native |  adj. 本国的,本土的,出生地的,天生的 // n. 本地人,土著人
acid |  adj. 酸的 // n. 酸, 酸味物质
afforestation |  n. 造林
ancestor |  n. 祖宗,祖先,原种
antiquated |  adj. 陈旧的, 过时的，年老的 // 动词antiquate的过去式和过去分词
archeologist |  n. 考古学家 // =archaelogist
biodegradable |  adj. 生物所能分解的
biosphere |  n. 生物圈
carcinogen |  n. 致癌物
coexist |  vi. 同时存在(于同一处), 共存
congestion |  n. 混杂,拥挤,过剩 // [计算机] 拥挤
cornerstone |  n. 隅石，奠基石
cuisine |  n. 烹饪,佳肴
decomposition |  n. 分解,腐败,变质
deforestation |  n. 森林开伐, 滥伐森林
densely-populated |  adj. 人口稠密的
desalination |  n. 脱盐(作用)
desertification |  n. (土壤)荒漠化, 沙漠化
devastation |  n. 破坏, 劫掠
download |  v. 下载
efficiency |  n. 效率；效能；功效
electronic |  adj.电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的
emulate |  vt. 效法, 尽力赶上, 仿真 // [计算机] 仿真
exploitation |  n. 开发,开采,自私的利用
fad |  n. 时尚, 一时流行的狂热
festivity |  n. 欢宴, 欢庆
globalization |  n. 全球化 // =globalisation(英)
greenhouse |  n. 温室, 暖房
grimy |  adj. 污秽的, 肮脏的
hardware |  n. 五金器具 // n. (计算机) 硬件
hazardous |  adj. 危险的,冒险的,碰运气的
hinder |  adj. 后面的 // vt. 阻碍,打扰 // vi. 阻碍
hyperlink |  n. （电脑）超链接
imbalance |  n. 不平衡,失调
imperil |  vt. 使陷于危险中, 危及
impurity |  n. 不纯, 杂质
incinerate |  v. 焚化,毁弃 // vi. 把...烧成灰, 烧弃 // vt. 焚化(废物),火化
industrialized |  adj. 工业化的 // 动词industrialize的过去式和过去分词形式
inundate |  v. 浸水, 向泛滥, 淹没
longevity |  n. 长寿
menace |  n. 威胁, 胁迫 // v. 威吓, 胁迫
misuse |  vt.&amp;n. 误用,滥用
mutation |  n. 变化, 转变, 母音变化
nonrenewable |  adj. 不可再生的
novelty |  n. 新奇,新奇的事物,小装饰
overcrowding |  n. 过度拥挤，挤满 // 动词overcrowd的过去式和过去分词
overgraze |  vt. 使过度放牧
practicality |  n. 实际,实用,实用性,实际的事情
protein |  adj. 蛋白质的 // n. 蛋白质
purify |  v.(使）净化，（使）精炼，涤罪
radiation |  n. 辐射,放射线
rainfall |  n. 降雨，降雨量
reforestation |  n.重新造林
reliability |  n. 可靠性
restore |  vt. 恢复,归还,翻新
reuse |  v. 再使用 // vt. 重新使用
robot |  n. 机器人
saline |  adj. 含盐的, 咸的 // n. 生理盐溶液，盐湖
sandstorm |  n. 大风沙，沙尘暴
sewage |  n. 脏水, 污水
smelly |  adj. 有使人难受的气味的,臭的
software |  n. 软件
spell |  v. 拼写，缓慢地或吃力地读 // n. 魅力，符咒 // vt. 用符咒镇住(某人) // n. 一段时间，轮班 // v. 轮班，休息
sperm |  n. 精液, 精子 // n. 与抹香鲸有关的物质(如鲸脑油) // pref. 表示“精液，精子，种子”（=spermo-,sperma-，spermi-）
trash |  n. 废物,垃圾 // vt. 废弃,擦去,捣毁 // vi. 捣毁
unsanitary |  adj. 不卫生的，有碍健康的，不健康的 // =insanitary
vermin |  n. 害虫, 寄生虫
vicious |  adj. 恶毒的, 恶意的, 凶残的, 剧烈的, 严重的
wasteland |  n. 荒地, 未开垦地
block |  n.块； 街区； <英>大楼，大厦； 障碍物，阻碍 // vt.阻止； 阻塞； 限制
blockade |  n. 阻塞，封锁，阻碍物 // v. 封锁，挡住
blockage |  n. 封锁, 妨碍
pregnant |  adj. 怀孕的，意味深长的,含蓄的，富于想象力的
pregnancy |  n. 怀孕
devise |  vt. 设计,遗赠 // n. 遗赠(的财产)
relate |  vt.& vi.（把…）联系起来； 讲，叙述（故事等） // vt.讲述，叙述； 使…有联系； 建立或展示联系 // vi.有联系； 涉及； 符合； 发生共鸣
relative |  adj. 相对的,比较的,涉及到的 // n. 亲属,同类事物,相关物
relation |  n. 关系,家人,亲戚,叙述,陈述
proportion |  n. 比例,均衡,部份 // vt. 使成比例,使均衡,分摊
proportional |  adj. 成比例的,相称的 // n. [数]比例项
proportionate |  adj. 成比例的, 相称的 // vt. 使相称, 使成比例
gauge |  n. 测量标准,轨距,口径,直径,测量仪器 // vt. 测量,估计,判断
slippery |  adj. 滑的
tempt |  vt. 诱惑；引起；冒…的风险；使感兴趣
appeal |  n. 恳求, 上诉, 吸引力 // n. 诉诸裁决 // v. 求助, 诉请, 呼吁; 有吸引力
entice |  v. 诱骗, 引诱
altitude |  n. 高度,海拔,高地
exploit |  n. 功绩,勋绩 // vt.&vi. 开发,利用,开拓
component |  n. 元件, 组件, 成份 // adj. 组成的, 构成的
ingredient |  n. 成分, 因素
element |  n. 成分,要素,元素,基本原理,(复数)恶劣天气
constituent |  n. 成份,选民,构成物 // adj. 构成的,组织的,有提名权的
marsupial |  n. 有袋动物 // adj. 袋的, 袋状的，有袋动物的
symbol |  n. 符号, 标志, 象征
symbolism |  n. 象征主义, 象征, 符号化
symbology |  n. 象征学,象征的使用
symbolic |  n. 代号 // adj. 象征的, 符号的
symbolical |  adj. 象征性的，符号的，象征主义的 // =symbolic
deviance |  n. 异常
function |  n. 功能, 函数, 重大聚会 // vi. 运行, 起作用
functional |  adj. 功能的,有功能的,实用的
accommodation |  n. 住处，膳宿；调节；和解；预订铺位
maintain |  vt. 维持; 维修, 保养; 坚持; 断言
surveillance |  n. 监视,监督
colony |  n. 侨民,侨居地,殖民地,聚居(地)
colonist |  n. 殖民地居民, 殖民者
colonial |  adj. 殖民地的 // n. 殖民地居民
colonialism |  n. 殖民主义
stack |  n. 堆叠,堆 // vt. 堆积,成叠放在 // vi. 堆成一堆
haystack |  n. 大干草堆 // =hayrick
loan |  n. 贷款, 借出, 债权人 // v. 借, 供应货款, 借给
miserable |  adj. 悲惨的,痛苦的,贫乏的
consultant |  n. 顾问, 咨询专家
accreditation |  n. 委派, 信赖
afford |  vt. 提供,负担得起的(后果,损失等),给予
affordable |  adj. 支付得起的, 不太昂贵的
conserve |  n. 蜜饯,果酱 // vt. 保存,与糖放在一起,保持
split |  n. 劈开, 裂片, 裂口 // adj. 分散的 // v. 分离, 分开, 劈开
crucial |  adj. 关键的,决定性的
crucially |  adv. 关键地；至关重要地
enrich |  vt. 使富足,使肥沃，添加元素
enrichment |  n. 丰富, 改进
